anio,hogar,ingreso,personas_hogar,departamento
2010,38196,12100.0,2,1
2010,25717,28733.3333333333,1,1
2010,39541,45558.0,2,1
2010,60898,5166.66666666667,1,1
2010,48272,82340.0,5,1
2010,23804,20515.0,4,1
2010,65906,83685.5,3,1
2010,68930,20636.5,2,1
2010,10372,28683.0,7,1
2010,5881,21330.5,1,1
2010,31392,24530.5,3,1
2010,3362,61000.0,1,1
2010,51556,26176.0,2,1
2010,54306,10000.0,1,1
2010,54493,12955.5,4,1
2010,48536,42405.0,1,1
2010,15618,17130.5,2,1
2010,53563,138521.0,4,1
2010,56354,30183.3333333333,1,1
2010,28708,32035.0,1,1
2010,47425,25330.5,1,1
2010,50485,12830.5,2,1
2010,45349,11218.3816175962,3,1
2010,15889,28000.0,1,1
2010,32596,23661.0,2,1
2010,58308,7330.5,2,1
2010,5213,24281.0,2,1
2010,58881,13359.0,1,1
2010,43436,8959.1,2,1
2010,43414,17072.76,3,1
2010,61817,45830.5,3,1
2010,62544,80322.0,4,1
2010,13215,26404.8333333333,2,1
2010,59984,74661.0,2,1
2010,53023,26728.5,1,1
2010,10342,22330.5,1,1
2010,27832,64330.5,3,1
2010,32817,11700.0,2,1
2010,28511,69661.0,3,1
2010,24664,23000.0,1,1
2010,18939,11925.5,2,1
2010,33937,34961.0,2,1
2010,18389,4600.0,1,1
2010,68512,6549.72,1,1
2010,3687,19335.0,1,1
2010,56579,33161.0,3,1
2010,32655,147666.666666667,4,1
2010,47981,40000.0,2,1
2010,51061,38576.75,3,1
2010,9257,8942.44487444957,5,1
2010,36228,31000.0,2,1
2010,61812,11781.7048744496,5,1
2010,24761,19382.0,4,1
2010,33228,32208.0,4,1
2010,47756,18000.0,1,1
2010,14658,57761.5,3,1
2010,19967,12137.0,2,1
2010,35210,58524.5,3,1
2010,17104,25330.5,1,1
2010,61340,30566.2916175962,6,1
2010,8435,1037997.16666667,5,1
2010,58911,100158.166666667,3,1
2010,61966,42511.0,3,1
2010,37436,54952.5,5,1
2010,53862,20617.5,1,1
2010,42971,48956.3816175962,6,1
2010,910,48014.6666666667,3,1
2010,12578,31330.5,1,1
2010,44133,31319.7948744496,7,1
2010,65547,38330.5,1,1
2010,18879,10780.5,2,1
2010,4103,57130.5,4,1
2010,23626,15755.0,2,1
2010,45403,28330.5,1,1
2010,42885,27261.0,3,1
2010,31678,12800.0,1,1
2010,18167,11947.5,1,1
2010,8853,41830.5,3,1
2010,6161,7626.88161759618,4,1
2010,25968,22161.0,3,1
2010,7549,32967.0,5,1
2010,29518,16827.5,3,1
2010,8368,23224.0,3,1
2010,69194,29653.0,2,1
2010,21415,78491.5,3,1
2010,24652,12123.41,2,1
2010,56181,56230.5,3,1
2010,19267,66130.5,3,1
2010,16002,16830.5,1,1
2010,28918,21361.0,2,1
2010,5320,29196.5,4,1
2010,47204,8330.5,1,1
2010,18924,139319.166666667,5,1
2010,60132,19590.5,1,1
2010,62485,23380.5,1,1
2010,56584,30613.8333333333,1,1
2010,10010,26861.0,3,1
2010,63653,24161.0,2,1
2010,45515,28300.0,2,1
2010,70750,62822.0,6,1
2010,48760,41330.5,2,1
2010,10634,60821.26,4,1
2010,62237,5600.0,1,1
2010,28312,25038.0,2,1
2010,12185,50961.0,2,1
2010,14062,28212.02,6,1
2010,25070,16330.5,2,1
2010,39679,34991.5,3,1
2010,42175,31567.5,2,1
2010,26141,16000.0,2,1
2010,27359,25162.5,2,1
2010,59256,13853.25,1,1
2010,57730,20830.5,1,1
2010,11752,18808.5,4,1
2010,69749,14837.9220270257,6,1
2010,70824,17926.7948744496,5,1
2010,29363,42330.5,4,1
2010,38541,22261.0,3,1
2010,30582,17871.0,3,1
2010,7315,16022.0,2,1
2010,61319,23172.76,3,1
2010,70107,25656.38,5,1
2010,7970,126991.5,3,1
2010,11926,28261.0,3,1
2010,28853,36858.5,4,1
2010,27721,51005.0,3,1
2010,67306,20992.5,1,1
2010,10147,18507.5,1,1
2010,24084,6000.0,2,1
2010,8710,12330.5,1,1
2010,11284,12082.25,1,1
2010,32010,14090.5,1,1
2010,52845,8077.66666666667,2,1
2010,28831,19330.5,2,1
2010,200,21490.5,2,1
2010,13492,46473.3333333333,4,1
2010,10186,25000.0,1,1
2010,62964,13330.5,1,1
2010,45685,9200.0,6,1
2010,30125,37161.0,2,1
2010,30410,6793.88161759618,5,1
2010,70213,22000.0,1,1
2010,25094,36091.5,3,1
2010,21275,29236.6666666667,2,1
2010,68982,5949.79487444957,4,1
2010,69732,25461.0,2,1
2010,67557,89230.5,3,1
2010,8447,111313.5,7,1
2010,46606,46541.0,4,1
2010,71030,26661.0,2,1
2010,32170,31821.6666666667,1,1
2010,52591,42500.0,3,1
2010,52968,21330.5,1,1
2010,20357,62680.5,2,1
2010,23497,21330.5,1,1
2010,26228,30441.5,3,1
2010,5265,14199.76,4,1
2010,8443,29161.0,2,1
2010,992,7330.5,2,1
2010,45842,43179.3816175962,6,1
2010,12681,14330.5,3,1
2010,24127,39381.0,4,1
2010,25008,26690.0,2,1
2010,20732,5726.88161759618,3,1
2010,27789,48676.0,4,1
2010,31016,9771.5,1,1
2010,59739,19389.0,2,1
2010,49203,37261.0,2,1
2010,22266,13835.0,1,1
2010,54059,25483.5,5,1
2010,31020,14987.0147929376,7,1
2010,46199,41917.1666666667,1,1
2010,50687,20764.5,2,1
2010,48543,70989.44,4,1
2010,15611,48491.5,3,1
2010,14459,20000.0,1,1
2010,29265,5400.0,1,1
2010,64045,17171.3333333333,7,1
2010,50386,8383.33333333333,1,1
2010,24239,105970.333333333,3,1
2010,17081,37804.5,3,1
2010,31713,8000.0,2,1
2010,41297,38844.0,5,1
2010,4280,11550.5,2,1
2010,30897,16561.0,3,1
2010,70167,11641.7916175962,5,1
2010,59567,10345.4350576568,5,1
2010,57027,6916.5147929376,6,1
2010,15596,26330.5,1,1
2010,59926,130911.0,3,1
2010,32202,18991.94,3,1
2010,37787,39143.0,2,1
2010,9056,21440.5,4,1
2010,26014,17722.5,2,1
2010,12770,7000.0,1,1
2010,3822,12200.0,2,1
2010,30574,13800.0,6,1
2010,47209,9161.0,3,1
2010,9635,64156.6666666667,1,1
2010,45757,24670.0,2,1
2010,1076,34500.0,3,1
2010,388,11800.0,1,1
2010,32027,66235.5,4,1
2010,24341,57595.5,3,1
2010,15150,14720.44,3,2
2010,58025,11490.0,2,2
2010,12679,13748.94,4,2
2010,36509,8122.0,1,2
2010,4871,6530.5,2,2
2010,63180,13905.22,2,2
2010,46321,33449.5,5,2
2010,44064,3000.0,1,2
2010,56288,9130.5,2,2
2010,11698,30452.3816175962,5,2
2010,67894,20152.3816175962,4,2
2010,59864,4338.33333333333,2,3
2010,50796,17578.6,3,3
2010,14692,20621.26,3,3
2010,42041,18656.38,3,3
2010,70268,8948.44,2,3
2010,20195,14621.26,4,3
2010,63187,6747.63,3,3
2010,19469,15066.8816175962,6,3
2010,35259,13405.5,2,3
2010,3875,10000.0,1,3
2010,18721,14200.0,2,3
2010,49531,25322.0,4,3
2010,7520,19001.0,2,3
2010,62990,34614.5,5,3
2010,34630,26478.35,4,3
2010,4329,82652.5,5,3
2010,10744,20330.5,1,3
2010,35534,7970.44,3,3
2010,50334,49671.0,3,3
2010,4668,15230.5,1,3
2010,47285,22861.0,3,3
2010,39803,31294.3333333333,2,3
2010,66976,37200.0,1,3
2010,37326,18130.5,2,3
2010,13374,13330.5,1,3
2010,44114,24030.5,2,3
2010,35518,13500.0,2,3
2010,68364,12565.2916175962,4,3
2010,63486,27161.0,2,3
2010,8644,22830.5,1,3
2010,24090,35971.6666666667,3,3
2010,36250,3500.0,2,3
2010,49786,10557.3816175962,3,3
2010,58004,44999.0,4,3
2010,30635,109245.0,8,3
2010,14190,10996.0,1,3
2010,67841,71924.0,4,3
2010,31461,6830.5,3,3
2010,18947,12006.25,2,3
2010,1401,159491.5,6,3
2010,34448,1535.0,1,3
2010,15979,18317.35,4,3
2010,63113,29330.5,1,3
2010,70438,55891.3333333333,3,3
2010,59087,24991.5,4,3
2010,45993,15630.5,2,3
2010,52520,20835.0,1,3
2010,9256,6417.0,1,3
2010,48832,44651.76,4,3
2010,50057,9830.5,1,3
2010,12545,12924.5,2,3
2010,63835,4700.0,3,3
2010,66008,92772.0,4,3
2010,10712,40205.0,5,3
2010,59159,18078.0,1,3
2010,20913,6030.5,1,3
2010,13538,41532.0,5,3
2010,35651,13330.5,1,3
2010,34438,5700.5,1,3
2010,53291,5500.0,1,3
2010,15658,37944.0,2,3
2010,41053,37878.5,3,3
2010,29035,25168.0,3,3
2010,26259,50424.8333333333,4,3
2010,3290,3152.0,1,3
2010,25480,43985.7316175962,6,3
2010,26440,4260.0,1,3
2010,29688,44324.8333333333,4,3
2010,10483,8161.0,2,3
2010,68750,23771.5,1,3
2010,22205,4073.41,2,3
2010,14736,18728.5,3,3
2010,50747,17183.0,3,3
2010,58640,28491.5,4,3
2010,4405,30216.64,5,3
2010,60259,11330.5,2,3
2010,59350,24293.5,5,3
2010,65348,19141.0,2,3
2010,4457,29702.3816175962,6,3
2010,16672,21605.0,3,3
2010,5621,7656.35,3,3
2010,69287,17830.5,2,3
2010,12875,19265.5,2,3
2010,398,20422.0,4,3
